diseases|sub-category|reference|link
Anisakiasis — see Anisakis Infection|||https://www.cdc.gov/parasites/anisakiasis/
Anisakis Infection [Anisakiasis]|||https://www.cdc.gov/parasites/anisakiasis/
Anthrax [Bacillus anthracis Infection]|||https://www.cdc.gov/anthrax
Antibiotic and Antimicrobial Resistance|||https://www.cdc.gov/drugresistance/index.html
Antibiotic Use, Appropriate|||https://www.cdc.gov/getsmart/community/index.html
||see also Get Smart about Antibiotics Week|https://www.cdc.gov/getsmart/week/index.html
Aortic Aneurysm|||https://www.cdc.gov/dhdsp/data_statistics/fact_sheets/fs_aortic_aneurysm.htm
Aortic Dissection — see Aortic Aneurysm|||https://www.cdc.gov/dhdsp/data_statistics/fact_sheets/fs_aortic_aneurysm.htm
Arenavirus Infection|||https://www.cdc.gov/vhf/virus-families/arenaviridae.html
Arthritis|||https://www.cdc.gov/arthritis/
|Childhood Arthritis||https://www.cdc.gov/arthritis/basics/childhood.htm
|Fibromyalgia||https://www.cdc.gov/arthritis/basics/fibromyalgia.htm
|Gout||https://www.cdc.gov/arthritis/basics/gout.htm
|Osteoarthritis (OA)||https://www.cdc.gov/arthritis/basics/osteoarthritis.htm
|Rheumatoid Arthritis (RA)||https://www.cdc.gov/arthritis/basics/rheumatoid.htm
Ascariasis — see Ascaris Infection|||https://www.cdc.gov/parasites/ascariasis/index.html
Ascaris Infection [Ascariasis]|||https://www.cdc.gov/parasites/ascariasis/index.html
Aseptic Meningitis — see Viral Meningitis|||https://www.cdc.gov/meningitis/viral.html
Aspergillosis — see Aspergillus Infection|||https://www.cdc.gov/fungal/diseases/aspergillosis/index.html
Aspergillus Infection [Aspergillosis]|||https://www.cdc.gov/fungal/diseases/aspergillosis/index.html
Asthma|||https://www.cdc.gov/asthma
Atrial fibrillation (AFib, AF)|||https://www.cdc.gov/dhdsp/data_statistics/fact_sheets/fs_atrial_fibrillation.htm
Attention Deficit/Hyperactivity Disorder — see ADHD|||https://www.cdc.gov/ncbddd/adhd/
Autism|||https://www.cdc.gov/ncbddd/autism
||see also Genetics and Genomics|https://www.cdc.gov/genomics/
Avian Influenza|||https://www.cdc.gov/flu/avianflu/
B virus Infection [Herpes B virus]|||https://www.cdc.gov/herpesbvirus/index.html
B. cepacia infection (Burkholderia cepacia Infection)|||https://www.cdc.gov/HAI/organisms/bCepacia.html
Babesia Infection — see Babesiosis|||https://www.cdc.gov/parasites/babesiosis/
Babesiosis [Babesia Infection]|||https://www.cdc.gov/parasites/babesiosis/
Bacillus anthracis — see Anthrax|||https://www.cdc.gov/anthrax
Bacillus anthracis Infection — see Anthrax|||https://www.cdc.gov/anthrax
Back Belts — see Ergonomic and Musculoskeletal Disorders|||https://www.cdc.gov/niosh/topics/ergonomics/
Bacterial Meningitis|||https://www.cdc.gov/meningitis/bacterial.html
||see also Meningitis [Meningococcal Disease]|https://www.cdc.gov/meningitis/
Bacterial Vaginosis (BV)|||https://www.cdc.gov/std/bv/default.htm
Balamuthia mandrillaris Infection — see Balamuthia Infection|||https://www.cdc.gov/parasites/balamuthia
Balamuthia Infection [Balamuthia mandrillaris Infection]|||https://www.cdc.gov/parasites/balamuthia
Balantidiasis — see Balantidium Infection|||https://www.cdc.gov/parasites/balantidium/
Balantidium Infection [Balantidiasis]|||https://www.cdc.gov/parasites/balantidium/
Bartonella bacilliformis Infection — see Carrión’s disease|||https://www.cdc.gov/bartonella
Bartonella quintana Infection — see Trench fever|||https://www.cdc.gov/bartonella
Baylisascaris Infection — see Raccoon Roundworm Infection|||https://www.cdc.gov/parasites/baylisascaris/index.html
BCG (Tuberculosis Vaccine)|||https://www.cdc.gov/tb/topic/vaccines/default.htm
Bilharzia — see Schistosomiasis|||https://www.cdc.gov/parasites/schistosomiasis/
Bioterrorism Agents/Diseases|||https://emergency.cdc.gov/agent/agentlist.asp
Bird Flu — see Avian Influenza|||https://www.cdc.gov/flu/avianflu/
Birth Defects|||https://www.cdc.gov/ncbddd/birthdefects/index.html
Black Lung [Coal Workers' Pneumoconioses]|||https://www.cdc.gov/niosh/topics/pneumoconioses/
Blast Injuries|||https://emergency.cdc.gov/masscasualties/
Blastocystis hominis Infection — see Blastocystis Infection|||https://www.cdc.gov/parasites/blastocystis/
Blastocystis Infection [Blastocystis hominis Infection]|||https://www.cdc.gov/parasites/blastocystis/
blood clot|||https://www.cdc.gov/ncbddd/dvt/index.html
Blood Disorders|||https://www.cdc.gov/ncbddd/blooddisorders/index.html
Body Lice [Pediculus humanus corporis]|||https://www.cdc.gov/parasites/lice/body/
Borrelia burgdorferi Infection — see Lyme Disease|||https://www.cdc.gov/lyme/
Botulism [Clostridium botulinum Infection]|||https://www.cdc.gov/botulism/
Bovine Spongiform Encephalopathy (BSE)|||https://www.cdc.gov/prions/bse/index.html
Brainerd Diarrhea|||https://www.cdc.gov/ncezid/dfwed/diseases/brainerd-diarrhea/
Breast and Ovarian Cancer and Family Health History|||https://www.cdc.gov/genomics/resources/diseases/breast_ovarian_cancer/
||see also Breast and Ovarian Cancer and Family Health History|https://www.cdc.gov/genomics/resources/diseases/breast_ovarian_cancer/
Breast Cancer|||https://www.cdc.gov/cancer/breast/
||see also National Breast and Cervical Cancer Early Detection Program (NBCCEDP)|https://www.cdc.gov/cancer/nbccedp/
Breastfeeding|||https://www.cdc.gov/breastfeeding/
Bronchiolitis — see Respiratory Syncytial Virus Infection|||https://www.cdc.gov/rsv/
Bronchitis|||https://www.cdc.gov/getsmart/antibiotic-use/URI/bronchitis.html
Brucella Infection [Brucellosis]|||https://www.cdc.gov/brucellosis/index.html
Brucellosis — see Brucella Infection|||https://www.cdc.gov/brucellosis/index.html
BSE (Bovine Spongiform Encephalopathy)|||https://www.cdc.gov/prions/bse/index.html
BSE (Mad Cow Disease)|||https://www.cdc.gov/prions/bse/index.html
Burkholderia cepacia Infection (B. cepacia infection)|||https://www.cdc.gov/HAI/organisms/bCepacia.html
Burkholderia mallei — see Glanders|||https://www.cdc.gov/glanders/
Burkholderia pseudomallei Infection — see Melioidosis|||https://www.cdc.gov/melioidosis/index.html
BV (Bacterial Vaginosis)|||https://www.cdc.gov/std/bv/default.htm
C. diff. Infection [Clostridium difficile Infection]|||https://www.cdc.gov/HAI/organisms/cdiff/Cdiff_infect.html
C. gattii cryptococcosis|||https://www.cdc.gov/fungal/diseases/cryptococcosis-gattii/index.html
C. neoformans cryptococcosis|||https://www.cdc.gov/fungal/diseases/cryptococcosis-neoformans/index.html
Campylobacter Infection [Campylobacteriosis]|||https://www.cdc.gov/foodsafety/diseases/campylobacter/index.html
Campylobacteriosis — see Campylobacter Infection|||https://www.cdc.gov/foodsafety/diseases/campylobacter/index.html
Cancer|||https://www.cdc.gov/cancer/
|Colorectal (Colon) Cancer||https://www.cdc.gov/cancer/colorectal/
|Gynecologic Cancers||https://www.cdc.gov/cancer/gynecologic/
|Lung Cancer||https://www.cdc.gov/cancer/lung/
|Prostate Cancer||https://www.cdc.gov/cancer/prostate/index.htm
|Skin Cancer||https://www.cdc.gov/cancer/skin/
||see also Breast Cancer|https://www.cdc.gov/cancer/breast/
Cancer and Flu|||https://www.cdc.gov/cancer/flu/
||see also Cancer|https://www.cdc.gov/cancer/
||see also Influenza|https://www.cdc.gov/flu/index.htm
Cancer Health Disparities — see Health Disparities in Cancer|||https://www.cdc.gov/cancer/healthdisparities/
Candida Infection [Candidiasis]|||https://www.cdc.gov/fungal/diseases/candidiasis/index.html
|Genital Candidiasis (VVC) [Vulvovaginal Candidiasis]||https://www.cdc.gov/fungal/diseases/candidiasis/genital/index.html
|Invasive Candidiasis||https://www.cdc.gov/fungal/diseases/candidiasis/invasive/index.html
|Thrush [Oropharyngeal Candidiasis]||https://www.cdc.gov/fungal/diseases/candidiasis/thrush/index.html
Candidiasis — see Candida Infection|||https://www.cdc.gov/fungal/diseases/candidiasis/index.html
Canine Flu|||https://www.cdc.gov/flu/canine/
Capillaria Infection [Capillariasis]|||https://www.cdc.gov/parasites/capillaria
Capillariasis — see Capillaria Infection|||https://www.cdc.gov/parasites/capillaria
Carbapenem resistant Klebsiella pneumonia  (CRKP) — see Klebsiella pneumoniae|||https://www.cdc.gov/HAI/organisms/klebsiella/klebsiella.html
Carbapenem-resistant Enterobacteriaceae (CRE)|||https://www.cdc.gov/HAI/organisms/cre/
Cardiovascular Health — see Heart Disease|||https://www.cdc.gov/heartdisease/
Carpal Tunnel Syndrome — see Ergonomic and Musculoskeletal Disorders|||https://www.cdc.gov/niosh/topics/ergonomics/
Carrión’s disease [Bartonella bacilliformis Infection]|||https://www.cdc.gov/bartonella
Cat Flea Tapeworm — see Tapeworm, Dog and Cat Flea|||https://www.cdc.gov/parasites/dipylidium/
Cat Scratch Disease from Pets|||https://www.cdc.gov/healthypets/diseases/cat-scratch.html
Cats, Infections from|||https://www.cdc.gov/healthypets/animals/cats.htm
CCHF (Crimean-Congo hemorrhagic fever)|||https://www.cdc.gov/vhf/crimean-congo/
CDI (Chronic Disease Indicators )|||https://www.cdc.gov/cdi/
Cercarial Dermatitis — see Swimmer's Itch|||https://www.cdc.gov/parasites/swimmersitch/
Cerebral Palsy|||https://www.cdc.gov/ncbddd/dd/ddcp.htm
Cervical Cancer|||https://www.cdc.gov/cancer/cervical/
||see also National Breast and Cervical Cancer Early Detection Program (NBCCEDP)|https://www.cdc.gov/cancer/nbccedp/
CFS (Chronic Fatigue Syndrome)|||https://www.cdc.gov/cfs
Chagas Disease [Trypanosoma cruzi Infection]|||https://www.cdc.gov/parasites/chagas/
Chapare Hemorrhagic Fever (CHHF)|||https://www.cdc.gov/vhf/chapare/index.html
Chest Cold — see Bronchitis|||https://www.cdc.gov/getsmart/antibiotic-use/URI/bronchitis.html
CHHF (Chapare Hemorrhagic Fever)|||https://www.cdc.gov/vhf/chapare/index.html
Chickenpox [Varicella Disease]|||https://www.cdc.gov/chickenpox/index.html
Chickenpox Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/varicella/default.htm
Chikungunya Fever (CHIKV)|||https://www.cdc.gov/chikungunya/
CHIKV (Chikungunya Fever)|||https://www.cdc.gov/chikungunya/
Childhood Arthritis|||https://www.cdc.gov/arthritis/basics/childhood.htm
Childhood Injuries|||https://www.cdc.gov/health/childhood.htm
Childhood Overweight and Obesity|||https://www.cdc.gov/obesity/childhood/index.html
Children's Cough and Cold Medicines — see Cough and Cold Medicines|||https://www.cdc.gov/Features/PediatricColdMeds/
Chlamydia [Chlamydia trachomatis Disease]|||https://www.cdc.gov/std/chlamydia/default.htm
Chlamydia trachomatis Disease — see Chlamydia|||https://www.cdc.gov/std/chlamydia/default.htm
Chlamydophila (Chlamydia) pneumoniae Infection|||https://www.cdc.gov/pneumonia/atypical/cpneumoniae/index.html
Cholera [Vibrio cholerae Infection]|||https://www.cdc.gov/cholera/
Chronic Disease Indicators  (CDI)|||https://www.cdc.gov/cdi/
Chronic Disease Prevention|||https://www.cdc.gov/nccdphp/
Chronic Fatigue Syndrome (CFS)|||https://www.cdc.gov/cfs
Chronic Kidney Disease (CKD)|||https://www.cdc.gov/ckd
Chronic Obstructive Pulmonary Disease (COPD)|||https://www.cdc.gov/copd/
Chronic Wasting Disease (CWD)|||https://www.cdc.gov/prions/cwd/index.html
Ciguatera Fish Poisoning|||https://www.cdc.gov/nceh/ciguatera/default.htm
Ciguatoxin — see Marine Toxins|||https://www.cdc.gov/nczved/divisions/dfbmd/diseases/marine_toxins
CJD, Classic (Classic Creutzfeldt-Jakob Disease)|||https://www.cdc.gov/prions/cjd/index.html
CKD (Chronic Kidney Disease)|||https://www.cdc.gov/ckd
CKD (Kidney Disease)|||https://www.cdc.gov/ckd
Classic Creutzfeldt-Jakob Disease (CJD, Classic)|||https://www.cdc.gov/prions/cjd/index.html
Clonorchiasis — see Clonorchis Infection|||https://www.cdc.gov/parasites/clonorchis/
Clonorchis Infection [Clonorchiasis]|||https://www.cdc.gov/parasites/clonorchis/
Clostridium botulinum Infection — see Botulism|||https://www.cdc.gov/botulism/
Clostridium difficile Infection — see C. diff. Infection|||https://www.cdc.gov/HAI/organisms/cdiff/Cdiff_infect.html
Clostridium perfringens infection|||https://www.cdc.gov/foodsafety/diseases/clostridium-perfringens.html
Clostridium tetani Infection — see Tetanus Disease|||https://www.cdc.gov/tetanus/index.html
Clotting Disorders|||https://www.cdc.gov/ncbddd/hemophilia/diagnosis.html
CMV (Cytomegalovirus Infection)|||https://www.cdc.gov/cmv/index.html
Coal Workers' Pneumoconioses — see Black Lung|||https://www.cdc.gov/niosh/topics/pneumoconioses/
Coccidioidomycosis — see Valley Fever|||https://www.cdc.gov/fungal/diseases/coccidioidomycosis/index.html
Cold, Common|||https://www.cdc.gov/features/rhinoviruses/
Colorado Tick Fever (CTF)|||https://www.cdc.gov/coloradotickfever/
Colorectal (Colon) Cancer|||https://www.cdc.gov/cancer/colorectal/
|Colorectal Cancer Control Program (CRCCP)||https://www.cdc.gov/cancer/crccp/
Colorectal Cancer and Genetics|||https://www.cdc.gov/genomics/resources/diseases/colorectal.htm
||see also Colorectal (Colon) Cancer|https://www.cdc.gov/cancer/colorectal/
||see also Genetics and Genomics|https://www.cdc.gov/genomics/
Common Cold — see Cold, Common|||https://www.cdc.gov/features/rhinoviruses/
Concussion — see Traumatic Brain Injury|||https://www.cdc.gov/TraumaticBrainInjury/
Congenital Hearing Loss — see Hearing Loss in Children|||https://www.cdc.gov/ncbddd/hearingloss/index.html
Congenital Heart Defects|||https://www.cdc.gov/ncbddd/heartdefects/
|Screening for Critical Congenital Heart Defects||https://www.cdc.gov/ncbddd/heartdefects/screening.html
Conjunctivitis — see Pink Eye|||https://www.cdc.gov/conjunctivitis/index.html
Cooley's Anemia|||https://www.cdc.gov/ncbddd/thalassemia/
COPD (Chronic Obstructive Pulmonary Disease)|||https://www.cdc.gov/copd/
Corynebacterium diphtheriae Infection — see Diphtheria|||https://www.cdc.gov/diphtheria/clinicians.html
Cough and Cold Medicines|||https://www.cdc.gov/Features/PediatricColdMeds/
Coxiella burnetii Infection — see Q Fever|||https://www.cdc.gov/qfever
CRE (Carbapenem-resistant Enterobacteriaceae)|||https://www.cdc.gov/HAI/organisms/cre/
Creutzfeldt-Jakob Disease, Classic — see Classic Creutzfeldt-Jakob Disease|||https://www.cdc.gov/prions/cjd/index.html
Crimean-Congo hemorrhagic fever (CCHF) [Nairovirus Infection]|||https://www.cdc.gov/vhf/crimean-congo/
CRKP (Carbapenem resistant Klebsiella pneumonia )|||https://www.cdc.gov/HAI/organisms/klebsiella/klebsiella.html
Crohn’s Disease — see Inflammatory Bowel Disease|||https://www.cdc.gov/ibd/
Cronobacter Infection|||https://www.cdc.gov/cronobacter
Cryptococcosis, C. gattii. — see C. gattii cryptococcosis|||https://www.cdc.gov/fungal/diseases/cryptococcosis-gattii/index.html
Cryptococcosis, C. neoformans — see C. neoformans cryptococcosis|||https://www.cdc.gov/fungal/diseases/cryptococcosis-neoformans/index.html
Cryptosporidiosis — see Cryptosporidium Infection|||https://www.cdc.gov/parasites/crypto
Cryptosporidium Infection [Cryptosporidiosis]|||https://www.cdc.gov/parasites/crypto
CTF (Colorado Tick Fever)|||https://www.cdc.gov/coloradotickfever/
CWD (Chronic Wasting Disease)|||https://www.cdc.gov/prions/cwd/index.html
cyanobacterial algal bloom-associated illness — see Harmful Algal Bloom (HAB)-Associated Illness|||https://www.cdc.gov/habs/index.html
Cyclospora Infection [Cyclosporiasis]|||https://www.cdc.gov/parasites/cyclosporiasis/
Cyclosporiasis — see Cyclospora Infection|||https://www.cdc.gov/parasites/cyclosporiasis/
Cysticercosis|||https://www.cdc.gov/parasites/cysticercosis/
Cystoisospora Infection [Cystoisosporiasis]|||https://www.cdc.gov/parasites/cystoisospora/index.html
Cystoisosporiasis — see Cystoisospora Infection|||https://www.cdc.gov/parasites/cystoisospora/index.html
Cytomegalovirus Infection (CMV)|||https://www.cdc.gov/cmv/index.html
Death, Leading Causes of Death in Males|||https://www.cdc.gov/men/lcod/index.htm
||see also Mortality Data|https://www.cdc.gov/nchs/deaths.htm
Deep Vein Thrombosis (DVT)|||https://www.cdc.gov/ncbddd/dvt/index.html
Dengue Fever (DF)|||https://www.cdc.gov/Dengue
Dengue Hemorrhagic Fever (DHF) — see Dengue Fever|||https://www.cdc.gov/Dengue
Dermatophyte Infection — see Ringworm|||https://www.cdc.gov/fungal/diseases/ringworm/index.html
Developmental Disabilities|||https://www.cdc.gov/ncbddd/dd/default.htm
DF (Dengue Fever)|||https://www.cdc.gov/Dengue
DHF (Dengue Hemorrhagic Fever)|||https://www.cdc.gov/Dengue
Diabetes|||https://www.cdc.gov/diabetes
Dientamoeba fragilis Infection|||https://www.cdc.gov/parasites/dientamoeba/
Diet and Nutrition — see Nutrition|||https://www.cdc.gov/nccdphp/dnpa/nutrition.htm
Diphtheria [Corynebacterium diphtheriae Infection]|||https://www.cdc.gov/diphtheria/clinicians.html
Diphtheria Vaccination|||https://www.cdc.gov/vaccines/vpd-vac/diphtheria/default.htm
Diphyllobothriasis — see Diphyllobothrium Infection|||https://www.cdc.gov/parasites/diphyllobothrium/
Diphyllobothrium Infection [Diphyllobothriasis]|||https://www.cdc.gov/parasites/diphyllobothrium/
Dipylidium Infection — see Tapeworm, Dog and Cat Flea|||https://www.cdc.gov/parasites/dipylidium/
Dirofilariasis (Dog Heartworm)|||https://www.cdc.gov/parasites/dirofilariasis/
Division of Public Health Systems and Workforce Development (DPHSWD)|||https://www.cdc.gov/globalhealth/dphswd
Division of Public Health Systems and Workforce Development (DPHSWD) — see Division of Public Health Systems and Workforce Development|||https://www.cdc.gov/globalhealth/dphswd
Dog Bites|||https://www.cdc.gov/features/dog-bite-prevention/index.html
Dog Flea Tapeworm — see Tapeworm, Dog and Cat Flea|||https://www.cdc.gov/parasites/dipylidium/
Dog Heartworm [Dirofilaria] — see Dirofilariasis (Dog Heartworm)|||https://www.cdc.gov/parasites/dirofilariasis/
Dogs, Infections from|||https://www.cdc.gov/healthypets/animals/dogs.htm
Down Syndrome [Trisomy 21]|||https://www.cdc.gov/ncbddd/birthdefects/DownSyndrome.html
DPHSWD (Division of Public Health Systems and Workforce Development)|||https://www.cdc.gov/globalhealth/dphswd
Dracunculiasis — see Guinea Worm Disease|||https://www.cdc.gov/parasites/guineaworm/
Drug Resistance — see Antibiotic and Antimicrobial Resistance|||https://www.cdc.gov/drugresistance/index.html
DVT (Deep Vein Thrombosis)|||https://www.cdc.gov/ncbddd/dvt/index.html
Dwarf Tapeworm [Hymenolepis Infection]|||https://www.cdc.gov/parasites/hymenolepis/
E. coli Infection [Escherichia coli Infection]|||https://www.cdc.gov/ecoli/
Ear Infection [Otitis Media]|||https://www.cdc.gov/getsmart/community/for-patients/common-illnesses/ear-infection.html
Early Hearing Detection and Intervention (EHDI) — see Hearing, Early Detection & Intervention|||https://www.cdc.gov/ncbddd/hearingloss/index.html
Eastern Equine Encephalitis (EEE)|||https://www.cdc.gov/EasternEquineEncephalitis/
Ebola Virus Disease (EVD)|||https://www.cdc.gov/vhf/ebola/
EBV Infection (Epstein-Barr Virus Infection)|||https://www.cdc.gov/epstein-barr/index.html
Echinococcosis|||https://www.cdc.gov/parasites/echinococcosis/
EEE (Eastern Equine Encephalitis)|||https://www.cdc.gov/EasternEquineEncephalitis/
EHDI (Early Hearing Detection and Intervention)|||https://www.cdc.gov/ncbddd/hearingloss/index.html
Ehrlichiosis, Human|||https://www.cdc.gov/ehrlichiosis/
Elephantiasis — see Lymphatic Filariasis|||https://www.cdc.gov/parasites/lymphaticfilariasis/
Elizabethkingia Infection|||https://www.cdc.gov/elizabethkingia/index.html
Emerging Infectious Diseases|||https://www.cdc.gov/ncidod/diseases/eid/index.htm
Endophthalmitis, Fungal — see Fungal Eye Infections|||https://www.cdc.gov/fungal/diseases/fungal-eye-infections/index.html
Entamoeba histolytica infection — see Amebiasis, Intestinal|||https://www.cdc.gov/parasites/amebiasis/
Enteric Diseases from Animals — see Gastrointestinal Diseases from Animals|||https://www.cdc.gov/zoonotic/gi/index.html
Enterobius vermicularis Infection — see Pinworm Infection|||https://www.cdc.gov/parasites/pinworm/
Enterovirus D68|||https://www.cdc.gov/non-polio-enterovirus/about/EV-D68.html
Enterovirus Infections (Non-Polio) — see Non-Polio Enterovirus Infections|||https://www.cdc.gov/non-polio-enterovirus/index.html
Epidemic Typhus — see Typhus Fevers|||https://wwwnc.cdc.gov/travel/yellowBookCh4-Rickettsial.aspx
Epilepsy|||https://www.cdc.gov/Epilepsy
Epstein-Barr Virus Infection (EBV Infection)|||https://www.cdc.gov/epstein-barr/index.html
Ergonomic and Musculoskeletal Disorders|||https://www.cdc.gov/niosh/topics/ergonomics/
Escherichia coli Infection — see E. coli Infection|||https://www.cdc.gov/ecoli/
Esophageal Candidiasis — see Thrush|||https://www.cdc.gov/fungal/diseases/candidiasis/thrush/index.html
EV-D68 — see Enterovirus D68|||https://www.cdc.gov/non-polio-enterovirus/about/EV-D68.html
EVD (Ebola Virus Disease)|||https://www.cdc.gov/vhf/ebola/
Exserohilum rostratum (Other Pathogenic Fungi)|||https://www.cdc.gov/fungal/diseases/other/index.html
||see also Fungal diseases [Mycotic diseases]|https://www.cdc.gov/fungal/index.html
Extensively Drug-Resistant TB (XDR TB)|||https://www.cdc.gov/tb/topic/drtb/xdrtb.htm
Extreme Cold [Hypothermia]|||https://emergency.cdc.gov/disasters/winter/
Extreme Heat [Hyperthermia]|||https://emergency.cdc.gov/disasters/extremeheat/index.asp
Falls from Elevation|||https://www.cdc.gov/niosh/topics/falls/
Falls, Older Adults|||https://www.cdc.gov/HomeandRecreationalSafety/Falls/index.html
Family Health|||https://www.cdc.gov/family
Family Health History|||https://www.cdc.gov/genomics/famhistory/index.htm
Family Health History and Breast and Ovarian Cancer — see Breast and Ovarian Cancer and Family Health History|||https://www.cdc.gov/genomics/resources/diseases/breast_ovarian_cancer/
Farm Animals, Infections from|||https://www.cdc.gov/healthypets/index.html
Farm Worker Injuries|||https://www.cdc.gov/niosh/topics/aginjury/
||see also Cost-effective Rollover Protective Structures (CROPS)|https://www.cdc.gov/niosh/topics/aginjury/crops/
Fasciitis, Necrotizing — see Group A Strep Infection|||https://www.cdc.gov/groupAstrep/index.html
Fasciola Infection [Fascioliasis]|||https://www.cdc.gov/parasites/fasciola/index.html
Fascioliasis — see Fasciola Infection|||https://www.cdc.gov/parasites/fasciola/index.html
Fasciolopsiasis — see Fasciolopsis Infection|||https://www.cdc.gov/parasites/fasciolopsis/index.html
Fasciolopsis Infection [Fasciolopsiasis]|||https://www.cdc.gov/parasites/fasciolopsis/index.html
Fetal Alcohol Spectrum Disorder|||https://www.cdc.gov/ncbddd/fasd/
FETP — see Field Epidemiology Training Program|||https://www.cdc.gov/globalhealth/fetp/
FETP (Field Epidemiology Training Program)|||https://www.cdc.gov/globalhealth/fetp/
Fibromyalgia|||https://www.cdc.gov/arthritis/basics/fibromyalgia.htm
Field Epidemiology Training Program (FETP)|||https://www.cdc.gov/globalhealth/fetp/
Fifth Disease [Parvovirus B19 Infection]|||https://www.cdc.gov/parvovirusB19/index.html
Filariasis, Lymphatic — see Lymphatic Filariasis|||https://www.cdc.gov/parasites/lymphaticfilariasis/
Fish and Amphibians, Infections from|||https://www.cdc.gov/healthypets/pets/fish.html
Flavorings-Related Lung Disease|||https://www.cdc.gov/niosh/topics/flavorings/
Flu — see Influenza|||https://www.cdc.gov/flu/index.htm
Flu and Cancer — see Cancer and Flu|||https://www.cdc.gov/cancer/flu/
Flu Vaccination — see Influenza Vaccination|||https://www.cdc.gov/flu/index.htm
Flu, Pandemic — see Pandemic Flu|||https://www.cdc.gov/flu/pandemic-resources/
Flu, Seasonal — see Seasonal Flu|||https://www.cdc.gov/flu/
Folliculitis — see Hot Tub Rash|||https://www.cdc.gov/healthyswimming/derm.htm
Food Poisoning — see Foodborne Illness|||https://www.cdc.gov/foodsafety/foodborne-germs.html
Food-Related Diseases|||https://www.cdc.gov/foodsafety/diseases/clostridium-perfringens.html
|Clostridium perfringens infection||https://www.cdc.gov/foodsafety/diseases/clostridium-perfringens.html
|Shigella Infection [Shigellosis]||https://www.cdc.gov/shigella/index.html
Foodborne Illness|||https://www.cdc.gov/foodsafety/foodborne-germs.html
Fragile X Syndrome (FXS)|||https://www.cdc.gov/ncbddd/single_gene/fragilex.htm
Francisella tularensis Infection — see Tularemia|||https://www.cdc.gov/Tularemia/
Fungal diseases [Mycotic diseases]|||https://www.cdc.gov/fungal/index.html
|C. gattii cryptococcosis||https://www.cdc.gov/fungal/diseases/cryptococcosis-gattii/index.html
|C. neoformans cryptococcosis||https://www.cdc.gov/fungal/diseases/cryptococcosis-neoformans/index.html
|Candida Infection [Candidiasis]||https://www.cdc.gov/fungal/diseases/candidiasis/index.html
|Histoplasma capsulatum Infection [Histoplasmosis]||https://www.cdc.gov/fungal/diseases/histoplasmosis/index.html
|Aspergillus Infection [Aspergillosis]||https://www.cdc.gov/fungal/diseases/aspergillosis/index.html
|Blastomycosis [Blastomyces dermatitidis  Infection]||https://www.cdc.gov/fungal/diseases/blastomycosis/index.html
|Blastomycosis [Blastomyces dermatitidis infection]||https://www.cdc.gov/fungal/diseases/blastomycosis/index.html
